Date,Price,Open,High,Low,Vol.,Change %
01-Jan-10,30.57,30.49,30.64,30.34,123.43M,1.56%
04-Jan-10,30.57,30.49,30.64,30.34,123.43M,1.56%
05-Jan-10,30.63,30.66,30.8,30.46,150.48M,0.20%
06-Jan-10,30.14,30.63,30.75,30.11,138.04M,-1.60%
07-Jan-10,30.08,30.25,30.29,29.86,119.28M,-0.20%
08-Jan-10,30.28,30.04,30.29,29.87,111.97M,0.66%
11-Jan-10,30.02,30.4,30.43,29.78,115.56M,-0.86%
12-Jan-10,29.67,29.88,29.97,29.49,148.61M,-1.17%
13-Jan-10,30.09,29.7,30.13,29.16,151.47M,1.42%
14-Jan-10,29.92,30.02,30.07,29.86,108.29M,-0.56%
15-Jan-10,29.42,30.13,30.23,29.41,148.58M,-1.67%
19-Jan-10,30.72,29.76,30.74,29.61,182.50M,4.42%
20-Jan-10,30.25,30.7,30.79,29.93,153.04M,-1.53%
21-Jan-10,29.72,30.3,30.47,29.6,152.04M,-1.75%
22-Jan-10,28.25,29.54,29.64,28.17,220.44M,-4.95%
25-Jan-10,29.01,28.93,29.24,28.6,266.43M,2.69%
26-Jan-10,29.42,29.42,30.53,28.94,466.78M,1.41%
27-Jan-10,29.7,29.55,30.08,28.5,430.64M,0.95%
28-Jan-10,28.47,29.28,29.36,28.39,293.38M,-4.14%
29-Jan-10,27.44,28.73,28.89,27.18,311.49M,-3.62%
01-Feb-10,27.82,27.48,28,27.33,187.47M,1.38%
02-Feb-10,27.98,27.99,28.05,27.63,174.59M,0.58%
03-Feb-10,28.46,27.88,28.6,27.77,153.83M,1.72%
04-Feb-10,27.44,28.1,28.34,27.37,189.41M,-3.58%
05-Feb-10,27.92,27.52,28,27.26,212.58M,1.75%
08-Feb-10,27.73,27.96,28.27,27.71,119.57M,-0.68%
09-Feb-10,28.03,28.06,28.21,27.82,158.22M,1.08%
10-Feb-10,27.87,27.98,28.09,27.75,92.59M,-0.57%
11-Feb-10,28.38,27.84,28.54,27.72,137.59M,1.83%
12-Feb-10,28.63,28.3,28.81,27.93,163.87M,0.88%
16-Feb-10,29.06,28.85,29.1,28.79,135.99M,1.50%
17-Feb-10,28.94,29.17,29.19,28.69,109.10M,-0.41%
18-Feb-10,28.99,28.8,29.13,28.7,105.71M,0.17%
19-Feb-10,28.81,28.84,29.03,28.73,103.93M,-0.62%
22-Feb-10,28.63,28.91,28.93,28.46,97.71M,-0.62%
23-Feb-10,28.15,28.57,28.76,27.96,143.83M,-1.68%
24-Feb-10,28.67,28.32,28.78,28.26,115.14M,1.85%
25-Feb-10,28.86,28.2,28.98,28.13,166.35M,0.66%
26-Feb-10,29.23,28.91,29.31,28.86,126.87M,1.28%
01-Mar-10,29.86,29.39,29.93,29.35,137.52M,2.16%
02-Mar-10,29.84,29.99,30.12,29.68,141.64M,-0.07%
03-Mar-10,29.9,29.85,29.98,29.71,93.06M,0.20%
04-Mar-10,30.1,29.9,30.13,29.8,91.51M,0.67%
05-Mar-10,31.28,30.71,31.39,30.66,224.90M,3.92%
08-Mar-10,31.3,31.43,31.44,31.18,107.47M,0.06%
09-Mar-10,31.86,31.19,32.14,31.13,230.06M,1.79%
10-Mar-10,32.12,31.98,32.21,31.89,149.05M,0.82%
11-Mar-10,32.21,31.99,32.21,31.9,101.42M,0.28%
12-Mar-10,32.37,32.48,32.53,32.25,104.08M,0.50%
