Date,Price,Open,High,Low,Vol.,Change %
01-Jan-10,20.88,20.79,21.03,20.73,47.80M,2.35%
04-Jan-10,20.88,20.79,21.03,20.73,47.80M,2.35%
05-Jan-10,20.87,20.94,20.99,20.6,52.36M,-0.05%
06-Jan-10,20.8,20.81,20.93,20.67,40.04M,-0.34%
07-Jan-10,20.6,20.73,20.76,20.34,54.04M,-0.96%
08-Jan-10,20.83,20.54,20.89,20.4,48.23M,1.12%
11-Jan-10,20.95,21.11,21.15,20.82,51.09M,0.58%
12-Jan-10,20.61,20.87,20.9,20.38,69.96M,-1.62%
13-Jan-10,20.96,20.72,21.08,20.44,71.45M,1.70%
14-Jan-10,21.48,21.11,21.55,21.05,151.89M,2.48%
15-Jan-10,20.8,21.39,21.4,20.77,198.10M,-3.17%
19-Jan-10,21.05,20.9,21.17,20.85,82.57M,1.20%
20-Jan-10,21.08,20.99,21.14,20.85,65.67M,0.14%
21-Jan-10,20.84,21.15,21.31,20.68,73.63M,-1.14%
22-Jan-10,19.91,20.77,20.79,19.81,116.30M,-4.46%
25-Jan-10,20.32,20.24,20.58,20.14,73.79M,2.06%
26-Jan-10,20,20.18,20.38,19.95,65.30M,-1.57%
27-Jan-10,20.24,20,20.33,19.82,74.93M,1.20%
28-Jan-10,19.92,20.3,20.39,19.68,76.97M,-1.58%
29-Jan-10,19.4,20.13,20.23,19.3,96.05M,-2.61%
01-Feb-10,19.61,19.47,19.75,19.44,50.34M,1.08%
02-Feb-10,19.91,19.68,20.04,19.56,63.33M,1.53%
03-Feb-10,19.68,19.78,19.88,19.47,45.58M,-1.16%
04-Feb-10,19.02,19.57,19.58,18.95,90.93M,-3.35%
05-Feb-10,19.47,19.1,19.58,19,88.71M,2.37%
08-Feb-10,19.35,19.48,19.79,19.3,62.56M,-0.62%
09-Feb-10,19.65,19.64,19.89,19.44,69.45M,1.55%
10-Feb-10,19.69,19.59,19.87,19.45,56.25M,0.20%
11-Feb-10,20.06,19.63,20.2,19.55,58.84M,1.88%
12-Feb-10,20.43,19.96,20.68,19.79,91.11M,1.84%
16-Feb-10,20.72,20.62,20.85,20.55,69.08M,1.42%
17-Feb-10,20.66,20.86,20.86,20.53,47.30M,-0.29%
18-Feb-10,20.84,20.64,20.85,20.55,42.61M,0.87%
19-Feb-10,20.82,20.72,20.97,20.58,40.77M,-0.10%
22-Feb-10,20.87,20.95,20.96,20.65,38.73M,0.24%
23-Feb-10,20.39,20.84,20.95,20.29,62.25M,-2.30%
24-Feb-10,20.7,20.52,20.81,20.5,51.07M,1.52%
25-Feb-10,20.63,20.37,20.66,20.22,48.79M,-0.34%
26-Feb-10,20.53,20.6,20.68,20.43,47.80M,-0.48%
01-Mar-10,20.87,20.68,20.94,20.62,51.20M,1.66%
02-Mar-10,20.7,20.99,21.09,20.58,59.40M,-0.81%
03-Mar-10,20.52,20.76,20.82,20.44,49.92M,-0.87%
04-Mar-10,20.53,20.6,20.61,20.26,62.76M,0.05%
05-Mar-10,20.79,20.66,20.84,20.45,45.89M,1.27%
08-Mar-10,20.77,20.81,20.88,20.7,35.74M,-0.10%
09-Mar-10,20.94,20.68,21.2,20.66,83.17M,0.82%
