Date,Price,Open,High,Low,Vol.,Change %
31-Oct-19,235.1,238,238,234.8,165.32K,-1.01%
30-Oct-19,237.5,238,238.7,235,152.99K,0.38%
29-Oct-19,236.6,239.8,241,236,234.65K,-0.76%
28-Oct-19,238.4,241.1,241.1,238.1,285.48K,-0.29%
27-Oct-19,239.1,240.3,242.7,238.5,265.00K,-0.46%
24-Oct-19,240.2,240,240.7,238.7,203.17K,0.80%
23-Oct-19,238.3,238.2,240.6,237.5,215.38K,0.04%
22-Oct-19,238.2,237,240,234,226.40K,0.55%
21-Oct-19,236.9,240.8,240.8,234.4,343.54K,-1.62%
20-Oct-19,240.8,238.2,242,238.1,135.43K,1.09%
17-Oct-19,238.2,239.7,240,236.6,426.43K,-0.13%
16-Oct-19,238.5,242,243,237.8,305.16K,-0.75%
15-Oct-19,240.3,239.8,241,239.5,563.85K,0.42%
14-Oct-19,239.3,240.7,241.6,238.7,482.52K,-1.03%
13-Oct-19,241.8,237.7,243,237.7,357.32K,1.72%
10-Oct-19,237.7,240.6,240.6,237,279.97K,-1.21%
09-Oct-19,240.6,239.5,241.6,238.6,861.56K,1.05%
07-Oct-19,238.1,236,239,234.8,175.99K,0.98%
06-Oct-19,235.8,234,238,234,128.30K,0.47%
03-Oct-19,234.7,234.4,235.9,234.1,99.43K,0.13%
02-Oct-19,234.4,235,235.8,233.5,287.07K,-0.42%
01-Oct-19,235.4,236.2,236.5,234.5,67.74K,-0.30%
30-Sep-19,236.1,237.8,237.8,236,264.51K,-0.34%
29-Sep-19,236.9,235,238,234.2,81.11K,0.72%
26-Sep-19,235.2,235.8,236,234.5,199.46K,0.17%
25-Sep-19,234.8,237.9,237.9,232.7,230.24K,0.00%
24-Sep-19,234.8,236.7,236.9,233.3,444.65K,-0.76%
23-Sep-19,236.6,238,242.8,235.7,385.78K,-0.42%
22-Sep-19,237.6,230,239.5,228.1,368.76K,4.72%
19-Sep-19,226.9,229,233.9,226,630.62K,-0.83%
18-Sep-19,228.8,236.5,238.9,225.9,661.25K,-3.21%
17-Sep-19,236.4,242.4,242.4,235,518.50K,-2.27%
16-Sep-19,241.9,243,243,241.2,191.46K,-0.37%
15-Sep-19,242.8,244,244,242,125.60K,-0.45%
12-Sep-19,243.9,244.2,244.9,242.1,319.52K,-0.08%
11-Sep-19,244.1,247,247,243.3,395.06K,-1.01%
09-Sep-19,246.6,247,248.4,246,138.40K,0.16%
08-Sep-19,246.2,248.5,249.5,245.8,179.36K,-0.12%
05-Sep-19,246.5,246.1,248.8,246,163.30K,0.24%
04-Sep-19,245.9,250,250,245.2,389.02K,-1.68%
03-Sep-19,250.1,250.4,250.9,249.7,178.96K,-0.28%
02-Sep-19,250.8,251,252,249.7,255.52K,0.00%
01-Sep-19,250.8,252,252,250,106.11K,-0.44%
29-Aug-19,251.9,253.5,253.5,251.7,168.30K,-0.47%
28-Aug-19,253.1,254.4,255.4,252.8,93.65K,-0.20%
27-Aug-19,253.6,251.5,254.5,251.5,559.38K,0.92%
26-Aug-19,251.3,251.3,251.9,250.6,253.68K,-0.04%
25-Aug-19,251.4,251.6,252.2,251,85.85K,-0.08%
22-Aug-19,251.6,251.4,252.4,251.1,193.87K,0.16%
21-Aug-19,251.2,251.1,252,251,177.81K,0.04%
20-Aug-19,251.1,251,252.5,250.8,157.39K,0.12%
19-Aug-19,250.8,251.1,252,250.6,302.79K,-0.12%
18-Aug-19,251.1,250.8,252.3,250.8,158.07K,0.00%
08-Aug-19,251.1,250.9,253.3,250.9,276.49K,-0.75%
07-Aug-19,253,251.7,253.1,251.3,245.48K,0.56%
06-Aug-19,251.6,253.4,253.5,251.2,400.76K,-0.47%
05-Aug-19,252.8,251.5,253.2,251.4,1.08M,0.40%
04-Aug-19,251.8,252.4,254.7,251.5,188.88K,-0.04%
01-Aug-19,251.9,251.8,252,250.6,409.56K,0.40%
31-Jul-19,250.9,251.3,252.4,250.6,356.57K,-0.16%
30-Jul-19,251.3,251.1,252.4,251,373.37K,-0.04%
29-Jul-19,251.4,250.6,252.7,250.6,517.31K,-0.12%
28-Jul-19,251.7,250,252.1,250,223.30K,0.68%
25-Jul-19,250,250.3,251,249.7,521.36K,0.00%
24-Jul-19,250,251,251,249.2,583.92K,-0.28%
23-Jul-19,250.7,250.8,252,249.9,287.40K,1.25%
22-Jul-19,247.6,252.7,253.4,247,502.41K,-2.33%
21-Jul-19,253.5,253.3,265,253.3,176.10K,-0.51%
18-Jul-19,254.8,255,256,254.5,158.03K,-0.04%
17-Jul-19,254.9,255.4,255.8,254.6,128.41K,-0.20%
16-Jul-19,255.4,253.3,256.7,253,186.04K,0.87%
15-Jul-19,253.2,256.6,258,252.3,341.24K,-1.33%
14-Jul-19,256.6,257.5,259,256,189.15K,-0.62%
11-Jul-19,258.2,257.6,258.5,257.6,165.30K,0.04%
10-Jul-19,258.1,258.1,258.2,257.5,134.92K,0.00%
09-Jul-19,258.1,258.9,258.9,257.7,177.91K,-0.04%
08-Jul-19,258.2,258.2,260,257.5,319.87K,-0.23%
07-Jul-19,258.8,259.9,259.9,258.4,98.22K,-0.42%
04-Jul-19,259.9,260,260.7,259,129.90K,-0.12%
03-Jul-19,260.2,259.6,261.9,258.3,302.31K,0.42%
02-Jul-19,259.1,263.2,263.2,258.6,367.15K,-1.97%
30-Jun-19,264.3,263.6,266.2,263.5,617.47K,0.30%
27-Jun-19,263.5,263.5,264.9,262.8,994.15K,0.04%
26-Jun-19,263.4,260.7,263.9,260.7,400.83K,1.04%
25-Jun-19,260.7,260.5,261.7,260.4,379.36K,-0.19%
24-Jun-19,261.2,261,261.5,260,194.57K,0.23%
23-Jun-19,260.6,260.7,262.5,260,281.60K,-0.04%
20-Jun-19,260.7,261,262,259.4,194.64K,0.19%
19-Jun-19,260.2,258,261,257.9,264.95K,1.05%
18-Jun-19,257.5,255,259.5,255,257.90K,1.34%
17-Jun-19,254.1,255.2,255.3,252.8,438.85K,-0.43%
16-Jun-19,255.2,257.9,258.9,255,129.08K,-1.05%
13-Jun-19,257.9,257.5,258.4,257,257.62K,0.19%
12-Jun-19,257.4,258,258.4,257,179.82K,-0.12%
11-Jun-19,257.7,256.8,258.4,256.4,550.81K,0.59%
10-Jun-19,256.2,254.8,256.4,254,154.79K,0.91%
09-Jun-19,253.9,254.8,256.9,253.5,127.34K,-0.35%
30-May-19,254.8,255.5,256,254.1,154.61K,-0.16%
29-May-19,255.2,252,257.1,251,159.80K,1.31%
28-May-19,251.9,247.7,253.1,246.5,498.75K,2.48%
27-May-19,245.8,248,248,244.9,823.12K,-0.73%
26-May-19,247.6,248.5,249,246.9,113.73K,-0.28%
23-May-19,248.3,249,249.9,248,118.73K,-0.20%
22-May-19,248.8,250,250.7,248.5,242.90K,-0.04%
21-May-19,248.9,249.5,250,248.2,116.61K,-0.24%
20-May-19,249.5,253,254.6,248.7,150.80K,-1.15%
19-May-19,252.4,249.5,253.8,249.5,161.69K,1.49%
16-May-19,248.7,249.5,249.5,248.3,177.33K,0.12%
15-May-19,248.4,254.2,255.8,245.5,445.88K,-2.28%
14-May-19,254.2,255.2,256.8,253.5,195.77K,-0.31%
13-May-19,255,257.6,259,254,274.20K,-1.01%
12-May-19,257.6,258,258.5,257.4,76.12K,0.00%
09-May-19,257.6,258.7,259,257,126.63K,-0.39%
08-May-19,258.6,259.5,259.5,258,107.11K,-0.31%
07-May-19,259.4,262,262,259.1,182.53K,-0.92%
06-May-19,261.8,262.1,263.3,260.9,127.94K,0.11%
05-May-19,261.5,261.5,262.4,260.5,143.84K,0.58%
02-May-19,260,260,262.5,259.3,255.42K,0.04%
30-Apr-19,259.9,259,262,258.1,247.22K,0.89%
29-Apr-19,257.6,259,259.6,256.6,202.70K,-0.39%
28-Apr-19,258.6,259.6,260,258,100.46K,-0.31%
25-Apr-19,259.4,258.5,261,258.1,100.72K,0.82%
24-Apr-19,257.3,258,259.7,256,141.82K,0.04%
23-Apr-19,257.2,260.2,260.2,256.8,108.91K,-1.15%
21-Apr-19,260.2,259.1,261.5,259,128.77K,0.46%
18-Apr-19,259,258.1,260.2,257.6,167.62K,0.31%
17-Apr-19,258.2,256.8,259.8,256.2,189.76K,0.62%
16-Apr-19,256.6,260.3,261.5,255.4,277.27K,-1.42%
15-Apr-19,260.3,263.5,263.5,260,291.70K,-0.80%
11-Apr-19,262.4,261,263.4,260.1,150.56K,0.81%
10-Apr-19,260.3,262.1,264.1,260,209.51K,-0.95%
09-Apr-19,262.8,262.6,264.9,260.2,194.26K,0.77%
08-Apr-19,260.8,266,266,260,408.56K,-1.95%
