CP,MA,MACD,K,D,R,Trend
358.3999939,341.3066671,28.5903129,88.429738,90.24941854,11.570262,1
362.7999878,343.3266663,51.01531184,97.52063562,89.82296781,2.479364377,0
360.5,345.3733317,67.81990956,91.07506088,92.3418115,8.92493912,0
335.2999878,348.306665,78.20277108,26.91356518,71.83642056,73.08643482,0
308.3999939,348.9666646,83.30042352,-17.95408601,33.34484668,117.954086,1
312.6000061,347.3266642,86.68006189,9.671859575,6.210446247,90.32814043,0
308.2000122,345.7666646,87.98912307,2.072560162,-2.069888758,97.92743984,0
306.1000061,343.5866659,87.8444939,-0.857633113,3.628928875,100.8576331,0
304.1000061,340.9866659,86.57055944,4.851340218,2.022089089,95.14865978,1
305.1000061,338.2533325,84.66567564,13.08139767,5.691701592,86.91860233,1
308,335.6133321,82.43973284,17.29650583,11.74308124,82.70349417,0
299.2000122,332.8866659,79.05428311,4.505823624,11.62790904,95.49417638,0
295.5,329.3400004,75.20580404,8.443265075,10.08186484,91.55673492,0
289.3999939,325.2466675,70.84695752,5.860327634,6.269805445,94.13967237,1
294.7000122,320.5800008,67.04732757,12.46883078,8.924141162,87.53116922,1
304.1000061,316.5533346,64.05619448,24.1895241,14.17289417,75.8104759,1
310,312.9333354,61.4533838,31.54612664,22.73482717,68.45387336,1
312,309.4133362,58.87336535,34.16769697,29.96778257,65.83230303,1
316.7999878,306.1800028,56.56396685,63.43871754,43.05084705,36.56128246,1
320.1000061,304.9466695,54.37325476,100,65.86880484,0,0
313.5,305.7266703,51.51075044,77.21178879,80.21683544,22.78821121,1
316.7999878,305.7866699,48.94427742,86.05894394,87.75691091,13.94105606,1
319.7000122,306.3600016,46.6070794,93.83381087,85.70151453,6.166189131,1
323.2999878,307.2666687,44.53198408,95.78160615,91.89145365,4.218393851,1
326.6000061,308.5466675,42.66195947,99.05438768,96.22326823,0.945612321,0
323.8999939,309.9800008,40.49527871,92.23525103,95.69041495,7.764748966,0
317,311.0400004,37.78582528,75.99997128,89.09653666,24.00002872,1
317.7000122,312.2266663,35.28826787,77.64705882,81.96076038,22.35294118,1
318.7999878,313.7066671,33.01709396,78.99993896,77.54898969,21.00006104,1
322.2000122,315.6666667,31.13264804,86.41305024,81.02001601,13.58694976,0
321.3999939,317.5,29.23762316,76.03299428,80.48199449,23.96700572,1
337.1000061,318.6533325,28.67214739,112.4000244,91.61535631,-12.40002441,0
337.1000061,320.4599996,27.90236271,98.17518208,95.53606692,1.824817925,0
