CP,MA,MACD,K,D,R,Trend
234.8000031,0.289976787,0.245182955,-0.139264281,-0.243966065,0.142210419,1
236.6000061,0.289384085,0.438448246,-0.029168222,-0.179471421,0.032382187,1
237.6000061,0.288790958,0.586001722,0.032067098,-0.070045705,-0.028585307,0
226.8999939,0.288739238,0.68371607,-0.318074801,-0.161655825,0.321824417,1
228.8000031,0.285111227,0.754557848,-0.162436078,-0.229932882,0.166453519,1
236.3999939,0.283107005,0.809552842,0.123882697,-0.182892484,-0.119597433,1
241.8999939,0.282375062,0.849293353,0.328973656,0.148611203,-0.324420569,1
242.8000031,0.283809965,0.871778748,0.355395303,0.413912478,-0.350574394,1
243.8999939,0.286112238,0.880700321,0.359544501,0.534649024,-0.354455771,1
244.1000061,0.289011329,0.877944276,0.336776612,0.538646127,-0.331420061,1
246.6000061,0.292046936,0.868497169,0.351607797,0.536705065,-0.345983425,0
246.1999969,0.29549003,0.850856931,0.302237971,0.507344516,-0.29634578,1
246.5,0.298636396,0.827736961,0.284003427,0.480306581,-0.277843417,0
245.8999939,0.301648466,0.79963782,0.268227516,0.437587697,-0.261799689,1
250.1000061,0.304959642,0.773021767,0.367119519,0.470828089,-0.360423874,1
250.8000031,0.309518261,0.744180218,0.362256064,0.51091887,-0.355292603,0
250.8000031,0.314268276,0.713185511,0.33608968,0.545686233,-0.328858404,1
251.8999939,0.318532476,0.682017605,0.362882252,0.543514735,-0.355383161,1
253.1000061,0.322825395,0.651175207,0.356435161,0.540531892,-0.348668255,1
253.6000061,0.330343862,0.620201311,0.327402987,0.536080818,-0.319368268,0
251.3000031,0.33748605,0.586523483,0.239521599,0.472878655,-0.231219066,1
251.3999939,0.341949016,0.553642041,0.188913476,0.387051477,-0.180343132,1
251.6000061,0.344950742,0.521864837,0.187914569,0.315586737,-0.179076413,0
251.1999969,0.347763917,0.490681953,0.167825115,0.278854039,-0.158719149,0
251.1000061,0.350171727,0.460636417,0.143084217,0.255373983,-0.13371044,0
250.8000031,0.352499099,0.4316133,0.083053878,0.201650288,-0.073412293,1
251.1000061,0.354068707,0.404354865,0.101720856,0.167782806,-0.091811462,0
251.1000061,0.355828442,0.378473273,0.101875508,0.146670144,-0.091698305,1
253,0.357507462,0.355969915,0.219322894,0.216484958,-0.208877885,0
251.6000061,0.359864299,0.332889004,-0.05209816,0.137678414,0.062810976,1
252.8000031,0.360704819,0.312361088,0.080554912,0.126755099,-0.069574291,0
251.8000031,0.361680969,0.291746774,-0.051863824,-0.012182516,0.06311225,1
251.8999939,0.362386431,0.272459776,-0.091131081,-0.032180227,0.102647312,0
250.8999939,0.362821091,0.253272004,-0.222241679,-0.18731238,0.234025713,1
251.3000031,0.362659731,0.235857256,-0.15407188,-0.239676489,0.166123717,1
251.3999939,0.36247103,0.219713733,-0.138669096,-0.264031342,0.150988735,1
251.6999969,0.36293226,0.204961221,-0.092541848,-0.197581612,0.105129288,0
250,0.363447688,0.189356711,-0.261406881,-0.252572404,0.274262122,0
250,0.363448406,0.175055313,-0.223625079,-0.296097649,0.23674812,1
250.6999969,0.363557309,0.162676373,-0.089658978,-0.294620217,0.103049818,0
247.6000061,0.363882803,0.147935886,-0.444494413,-0.388421304,0.458153052,1
253.5,0.363449689,0.141007106,0.27015415,-0.135442032,-0.256227714,1
254.8000031,0.364533334,0.135427032,0.011693264,-0.083515831,0.00250097,1
